date,text,reply,media_urls
2026-01-29 08:00:01,本人は脱チー牛したつもりだが、余計チー牛っぽい見えてしまうアクセサリーランキング1位。,https://note.com/puregrinding1/n/n4eabc4c9b556,https://pbs.twimg.com/media/G_zE4Z8bUAEckka.jpg
2026-01-29 08:02:00,"脱チー牛のために自分を磨くのは良い事。

だが、髪染め、アクセサリー、酒イキリ、大学デビューファッション。
こういった楽な努力に逃げれば、一瞬でメッキが剥がれる。

あなたに必要なのはスクワット、ベンチ、デッドリフト。",https://note.com/puregrinding1/n/n4eabc4c9b556,
2026-01-29 08:05:00,"「嫌ならやめらればいい」「辛いなら逃げればいい」
こんなリベラル思想に染まると引き返せなくなります。

「甘い言葉をかけてくる人間」はあなたの人生がめちゃくちゃになっても責任は負いません。",https://note.com/puregrinding1/n/n4eabc4c9b556,
2026-01-29 08:59:00,"私が15歳に戻ったらやること

・中卒で工場労働
・実家で生活費0
・1000万まで積み立て投資
・英語学習
・SNS発信
・0コストで開業

これが人生をクリアする最短ルート。

個人事業主としてやってる今は高卒・大卒資格なんて見栄でしかなかった。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-29 22:00:01,"デジタルデトックスは絶対にやった方がいい。

・時間が増える
・内省が深まる
・ゾーンに入る
・SNSの過去との変化量が分かりやすい
→未来予測の精度も上がる。

SNSは全部消して、連絡ツールだけを残しておけばいい。

でも、まずは朝にベッドでのスマホいじりを止めるところから。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-30 22:23:56,"朝にディープワークをする方法

・少量の糖質
・水＋電解質
・夜にタスク整理
・カーテンを開ける
・ブラックコーヒー
・起きてすぐ取り組む
・スマホを別の部屋に置く
・モーニングルーティンをやめる

ADHDの私はこれで朝3時間集中できるようになった。
みんなは何やってる？",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-30 22:28:09,"「朝飯を抜け」というアドバイスがあるが、私はおすすめしない。

クリエイティブな作業には糖質が必要。脳のエネルギー源はブドウ糖だから。

完全に抜くと途中でガス欠になる。

腹3分目くらいの炭水化物は摂った方がいい。
特に副業でコンテンツ作ってる人は試してみて。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-31 05:17:35,"自信をつける最短ルート

・筋トレして体を変える
・小さな約束を自分と守る
・スマホ依存をやめる
・毎日やると決めたことをやる
・成功体験を積む

自信は「自分との約束を守った回数」で決まる。

口だけの奴に自信はつかない。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-31 05:56:24,"「非モテで友達もいない男」の依存する先はショート動画しかない。

人間関係で得られる快楽物質をボッチはスマホで代替しようとする。

だから、マインドセットを変えてもスマホ依存を治せるわけがないのよ。

だから
・ネットを1日断つ
・タイムロックに5日入れる
みたいな荒療治をするべき。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-31 08:52:00,"脱スマホ依存で俺が実際にやったこと

・SNSを全削除
・目覚ましを時計に変える
・夜9時以降は別の部屋に置く
・通知を全オフ
・本を常に持ち歩く

最初の3日がキツい。
でも1週間耐えれば脳がリセットされる。

スマホは現代最強のドラッグだと思え。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-31 08:59:00,"ジムに行かない言い訳ランキング

1位：時間がない
2位：人の目が気になる
3位：近くにジムがない
4位：何をすればいいかわからない
5位：お金がない

全部言い訳。

時間は作れる。月7000円は飲み会1回分。ジムは電車で行け。メニューはYouTubeで学べ。誰もお前を見てない。

やらない理由を探すな。",https://note.com/puregrinding1/n/n75b3881b4678,
2026-01-31 09:56:00,"男の市場価値を決める5要素

1. 顔（清潔感含む）
2. 体型（筋肉量と体脂肪率）
3. 金（年収と資産）
4. ステータス（職業、肩書き）
5. コミュ力（会話力、雰囲気）

顔は20%くらいしか影響しない。

残り80%は努力で変えられる。

「顔がブサイクだから」は逃げ。",https://note.com/puregrinding1/n/n4eabc4c9b556,
